env,experiment,mean,n,ci_half_width,baseline_experiment,prob_lt_prior0,highlight,display_unicode,display_tex
finger_turn_hard,a4_prior0.001,0.5623742897727273,32,0.024075033716954217,a4_prior0,0.7343,false,0.562±0.024,$0.562\pm0.024$
finger_turn_hard,a4_prior0.01,0.5653176491477273,32,0.02507072689344378,a4_prior0,0.4691,false,0.565±0.025,$0.565\pm0.025$
finger_turn_hard,a4_prior0.1,0.5779928385416667,32,0.02583448341251822,a4_prior0,0.3763,false,0.578±0.026,$0.578\pm0.026$
finger_turn_hard,a4_prior1.0,0.5730860558712121,32,0.027358470986368018,a4_prior0,0.6212,false,0.573±0.027,$0.573\pm0.027$
fish_swim,a4_prior0,0.34412178337260274,32,0.007680336861591117,a4_prior0,,false,0.344±0.008,$0.344\pm0.008$
fish_swim,a4_prior0.001,0.3463099979149446,32,0.0071038686588239764,a4_prior0,0.3476,false,0.346±0.007,$0.346\pm0.007$
fish_swim,a4_prior0.01,0.34508231100333486,32,0.005545824686103266,a4_prior0,0.3034,false,0.345±0.006,$0.345\pm0.006$
fish_swim,a4_prior0.1,0.3416250704786025,32,0.0069577460451536914,a4_prior0,0.5365,false,0.342±0.007,$0.342\pm0.007$
fish_swim,a4_prior1.0,0.407726645845045,32,0.01077935496884073,a4_prior0,0.0,false,0.408±0.011,$0.408\pm0.011$
fish_upright,a4_prior0,0.2958299026297467,32,0.0107896545638265,a4_prior0,,false,0.296±0.011,$0.296\pm0.011$
fish_upright,a4_prior0.001,0.2883016912727995,32,0.013774350091161444,a4_prior0,0.8351,false,0.288±0.014,$0.288\pm0.014$
fish_upright,a4_prior0.01,0.310633373093566,32,0.013109633816723327,a4_prior0,0.2529,false,0.311±0.013,$0.311\pm0.013$
fish_upright,a4_prior0.1,0.298113551373767,32,0.012834786937334027,a4_prior0,0.7245,false,0.298±0.013,$0.298\pm0.013$
fish_upright,a4_prior1.0,0.3115814449200232,32,0.01203832589091467,a4_prior0,0.188,false,0.312±0.012,$0.312\pm0.012$
hopper_hop,a4_prior0,0.9841450170609779,32,0.0041096112303525304,a4_prior0,,false,0.984±0.004,$0.984\pm0.004$
hopper_hop,a4_prior0.001,0.9777754075565644,32,0.0028082871779092767,a4_prior0,0.9557,true,0.978±0.003,$\mathbf{0.978\pm0.003}$
hopper_hop,a4_prior0.01,0.9742360046788556,32,0.003220699802386676,a4_prior0,0.99,true,0.974±0.003,$\mathbf{0.974\pm0.003}$
hopper_hop,a4_prior0.1,0.9774173146798266,32,0.0052257116690917855,a4_prior0,0.844,false,0.977±0.005,$0.977\pm0.005$
hopper_hop,a4_prior1.0,0.9998043374010549,32,9.26973887788694e-6,a4_prior0,0.0,false,1.000±0.000,$1.000\pm0.000$
hopper_stand,a4_prior0,0.6208937690653874,32,0.036092680847108226,a4_prior0,,false,0.621±0.036,$0.621\pm0.036$
hopper_stand,a4_prior0.001,0.661334967846072,32,0.04288128367420491,a4_prior0,0.22,false,0.661±0.043,$0.661\pm0.043$
hopper_stand,a4_prior0.01,0.6152817370565008,32,0.03315152080444969,a4_prior0,0.6679,false,0.615±0.033,$0.615\pm0.033$
hopper_stand,a4_prior0.1,0.5680020818144008,32,0.0315386837921675,a4_prior0,0.8795,false,0.568±0.032,$0.568\pm0.032$
hopper_stand,a4_prior1.0,0.8734560875936724,32,0.02853011696979359,a4_prior0,0.0,false,0.873±0.029,$0.873\pm0.029$
humanoid_run,a4_prior0,0.9988676920614048,32,5.099381380977634e-6,a4_prior0,,false,0.999±0.000,$0.999\pm0.000$
humanoid_run,a4_prior0.001,0.9988606733403984,32,7.20901091853245e-6,a4_prior0,0.9706,true,0.999±0.000,$\mathbf{0.999\pm0.000}$
humanoid_run,a4_prior0.01,0.9988677996368266,32,6.3113880894847465e-6,a4_prior0,0.6265,false,0.999±0.000,$0.999\pm0.000$
humanoid_run,a4_prior0.1,0.9989127459423519,32,6.0835804216568e-6,a4_prior0,0.0,false,0.999±0.000,$0.999\pm0.000$
humanoid_run,a4_prior1.0,0.9991503652869117,32,5.408224645220266e-6,a4_prior0,0.0,false,0.999±0.000,$0.999\pm0.000$
humanoid_stand,a4_prior0,0.9928831501381288,32,0.00003539560881735947,a4_prior0,,false,0.993±0.000,$0.993\pm0.000$
humanoid_stand,a4_prior0.001,0.9929070885418679,32,0.00003560056613576135,a4_prior0,0.1298,false,0.993±0.000,$0.993\pm0.000$
humanoid_stand,a4_prior0.01,0.9928921791875834,32,0.00003651967040316994,a4_prior0,0.5303,false,0.993±0.000,$0.993\pm0.000$
humanoid_stand,a4_prior0.1,0.9929580790722823,32,0.0000279666197580912,a4_prior0,0.0091,false,0.993±0.000,$0.993\pm0.000$
humanoid_stand,a4_prior1.0,0.9939625458348702,32,0.00004194507336739827,a4_prior0,0.0,false,0.994±0.000,$0.994\pm0.000$
humanoid_walk,a4_prior0,0.9982443161539956,32,0.00002675710796614435,a4_prior0,,false,0.998±0.000,$0.998\pm0.000$
humanoid_walk,a4_prior0.001,0.9982212839679588,32,0.000027135978752816767,a4_prior0,0.792,false,0.998±0.000,$0.998\pm0.000$
humanoid_walk,a4_prior0.01,0.9982248754493956,32,0.000024019402546209956,a4_prior0,0.7692,false,0.998±0.000,$0.998\pm0.000$
humanoid_walk,a4_prior0.1,0.9982727202348306,32,0.000027240594962995774,a4_prior0,0.1025,false,0.998±0.000,$0.998\pm0.000$
humanoid_walk,a4_prior1.0,0.9987188668863698,32,0.000010353757358231694,a4_prior0,0.0,false,0.999±0.000,$0.999\pm0.000$
manipulator_bring_ball,a4_prior0,0.9995847510759122,32,0.000013980936263242631,a4_prior0,,false,1.000±0.000,$1.000\pm0.000$
manipulator_bring_ball,a4_prior0.001,0.9995863525589881,32,0.00001616822307322897,a4_prior0,0.2803,false,1.000±0.000,$1.000\pm0.000$
manipulator_bring_ball,a4_prior0.01,0.9995908346376852,32,0.000014076976098377768,a4_prior0,0.3734,false,1.000±0.000,$1.000\pm0.000$
manipulator_bring_ball,a4_prior0.1,0.9995925208768914,32,0.000015298989638639386,a4_prior0,0.3625,false,1.000±0.000,$1.000\pm0.000$
manipulator_bring_ball,a4_prior1.0,0.9995689343290494,32,0.000016713707230746803,a4_prior0,0.8332,false,1.000±0.000,$1.000\pm0.000$
pendulum_swingup,a4_prior0,0.40805121527777777,32,0.02514045657822758,a4_prior0,,false,0.408±0.025,$0.408\pm0.025$
pendulum_swingup,a4_prior0.001,0.4529993686868687,32,0.05010885841714812,a4_prior0,0.2398,false,0.453±0.050,$0.453\pm0.050$
pendulum_swingup,a4_prior0.01,0.4003871133207071,32,0.032644926557942926,a4_prior0,0.8963,false,0.400±0.033,$0.400\pm0.033$
pendulum_swingup,a4_prior0.1,0.3493771306818182,32,0.008910036575364244,a4_prior0,1.0,true,0.349±0.009,$\mathbf{0.349\pm0.009}$
pendulum_swingup,a4_prior1.0,0.38056991792929296,32,0.013651517606724619,a4_prior0,0.8127,false,0.381±0.014,$0.381\pm0.014$
point_mass_easy,a4_prior0,0.18561767306579238,32,0.0044884835581374145,a4_prior0,,false,0.186±0.004,$0.186\pm0.004$
point_mass_easy,a4_prior0.001,0.18830820814798868,32,0.012765441180468932,a4_prior0,0.7877,false,0.188±0.013,$0.188\pm0.013$
point_mass_easy,a4_prior0.01,0.18135380358134454,32,0.003528719007616591,a4_prior0,0.758,false,0.181±0.004,$0.181\pm0.004$
point_mass_easy,a4_prior0.1,0.17573133432551163,32,0.003648588556114641,a4_prior0,0.9982,true,0.176±0.004,$\mathbf{0.176\pm0.004}$
point_mass_easy,a4_prior1.0,0.2858979030617773,32,0.059147813245391194,a4_prior0,0.0,false,0.286±0.059,$0.286\pm0.059$
reacher_easy,a4_prior0,0.10613151041666667,32,0.006104618556303785,a4_prior0,,false,0.106±0.006,$0.106\pm0.006$
reacher_easy,a4_prior0.001,0.11295795849116162,32,0.007094354071275207,a4_prior0,0.0795,false,0.113±0.007,$0.113\pm0.007$
reacher_easy,a4_prior0.01,0.11560020123106061,32,0.006610178424521852,a4_prior0,0.0246,false,0.116±0.007,$0.116\pm0.007$
reacher_easy,a4_prior0.1,0.11485692866161616,32,0.006791592143620135,a4_prior0,0.0128,false,0.115±0.007,$0.115\pm0.007$
reacher_easy,a4_prior1.0,0.1264905303030303,32,0.008846850840185563,a4_prior0,0.0031,false,0.126±0.009,$0.126\pm0.009$
reacher_hard,a4_prior0,0.494209990530303,32,0.036048765891409304,a4_prior0,,false,0.494±0.036,$0.494\pm0.036$
reacher_hard,a4_prior0.001,0.4985021306818182,32,0.03504402608380006,a4_prior0,0.2856,false,0.499±0.035,$0.499\pm0.035$
reacher_hard,a4_prior0.01,0.4610376617739899,32,0.03732786907759492,a4_prior0,0.6672,false,0.461±0.037,$0.461\pm0.037$
reacher_hard,a4_prior0.1,0.4924487649936869,32,0.03954061464896858,a4_prior0,0.4324,false,0.492±0.040,$0.492\pm0.040$
reacher_hard,a4_prior1.0,0.6626485164141415,32,0.05330140965949329,a4_prior0,0.0002,false,0.663±0.053,$0.663\pm0.053$
swimmer_swimmer15,a4_prior0,0.5272680802203978,32,0.007030530824610202,a4_prior0,,false,0.527±0.007,$0.527\pm0.007$
swimmer_swimmer15,a4_prior0.001,0.5296721475361846,32,0.005811983316084396,a4_prior0,0.1919,false,0.530±0.006,$0.530\pm0.006$
swimmer_swimmer15,a4_prior0.01,0.5278485506721631,32,0.004741945294296727,a4_prior0,0.2451,false,0.528±0.005,$0.528\pm0.005$
swimmer_swimmer15,a4_prior0.1,0.5299063334271331,32,0.005583996583055233,a4_prior0,0.2777,false,0.530±0.006,$0.530\pm0.006$
swimmer_swimmer15,a4_prior1.0,0.5422193855560065,32,0.004946618266336853,a4_prior0,0.0018,false,0.542±0.005,$0.542\pm0.005$
swimmer_swimmer6,a4_prior0,0.47457732366401273,32,0.003144536562092859,a4_prior0,,false,0.475±0.003,$0.475\pm0.003$
swimmer_swimmer6,a4_prior0.001,0.47361298043275196,32,0.0029198255157335544,a4_prior0,0.4768,false,0.474±0.003,$0.474\pm0.003$
swimmer_swimmer6,a4_prior0.01,0.47210861259728504,32,0.0030368703037234788,a4_prior0,0.6881,false,0.472±0.003,$0.472\pm0.003$
swimmer_swimmer6,a4_prior0.1,0.47380355959482057,32,0.0027894490862587582,a4_prior0,0.5195,false,0.474±0.003,$0.474\pm0.003$
swimmer_swimmer6,a4_prior1.0,0.4832342052448475,32,0.0026854374893505156,a4_prior0,0.0011,false,0.483±0.003,$0.483\pm0.003$
walker_run,a4_prior0,0.7515372283988153,32,0.002803142627274444,a4_prior0,,false,0.752±0.003,$0.752\pm0.003$
walker_run,a4_prior0.001,0.7527599834036083,32,0.0021482504036855277,a4_prior0,0.352,false,0.753±0.002,$0.753\pm0.002$
