env,experiment,mean,n,ci_half_width,baseline_experiment,prob_lt_prior0,highlight,display_unicode,display_tex
reacher_hard,a1_prior0,0.4817696890782829,16,0.05892978465536013,a1_prior0,,false,0.482±0.059,$0.482\pm0.059$
reacher_hard,a1_prior0.001,0.43917005997474745,16,0.051318802817357546,a1_prior0,0.9543,true,0.439±0.051,$\mathbf{0.439\pm0.051}$
reacher_hard,a1_prior0.01,0.42444511521464645,16,0.0708708760063357,a1_prior0,0.8698,false,0.424±0.071,$0.424\pm0.071$
reacher_hard,a1_prior0.1,0.5186773200757576,16,0.048948893082896586,a1_prior0,0.1637,false,0.519±0.049,$0.519\pm0.049$
swimmer_swimmer15,a1_prior0,0.5033738635086803,16,0.005370743567169618,a1_prior0,,false,0.503±0.005,$0.503\pm0.005$
swimmer_swimmer15,a1_prior0.001,0.5014347478675496,16,0.009160312607850107,a1_prior0,0.8281,false,0.501±0.009,$0.501\pm0.009$
swimmer_swimmer15,a1_prior0.01,0.49838835297266226,16,0.006200326813024493,a1_prior0,0.8809,false,0.498±0.006,$0.498\pm0.006$
swimmer_swimmer15,a1_prior0.1,0.5053305657807493,16,0.006258028261490212,a1_prior0,0.4479,false,0.505±0.006,$0.505\pm0.006$
swimmer_swimmer6,a1_prior0,0.4626849624216557,16,0.005348461649216674,a1_prior0,,false,0.463±0.005,$0.463\pm0.005$
swimmer_swimmer6,a1_prior0.001,0.4672387675717379,16,0.005127483613101756,a1_prior0,0.2502,false,0.467±0.005,$0.467\pm0.005$
swimmer_swimmer6,a1_prior0.01,0.4656237992858044,16,0.006231657667968383,a1_prior0,0.3252,false,0.466±0.006,$0.466\pm0.006$
swimmer_swimmer6,a1_prior0.1,0.46598113990287215,16,0.008290185303151556,a1_prior0,0.617,false,0.466±0.008,$0.466\pm0.008$
walker_run,a1_prior0,0.7376261526939996,16,0.004274980786831174,a1_prior0,,false,0.738±0.004,$0.738\pm0.004$
walker_run,a1_prior0.001,0.7412109246083883,16,0.0059249944724067555,a1_prior0,0.2359,false,0.741±0.006,$0.741\pm0.006$
walker_run,a1_prior0.01,0.7326103393420803,16,0.004669850034686871,a1_prior0,0.8354,false,0.733±0.005,$0.733\pm0.005$
walker_run,a1_prior0.1,0.7445519181313087,16,0.005627630085911795,a1_prior0,0.0562,false,0.745±0.006,$0.745\pm0.006$
walker_stand,a1_prior0,0.0934844787587421,16,0.007571102343237164,a1_prior0,,false,0.093±0.008,$0.093\pm0.008$
