env,experiment,mean,n,ci_half_width,baseline_experiment,prob_lt_prior0,highlight,display_unicode,display_tex
fish_upright,a1_single_layer_prior0.01,0.442323005903691,16,0.016192459053417332,a1_single_layer_prior0,0.3554,false,0.442±0.016,$0.442\pm0.016$
fish_upright,a1_single_layer_prior0.1,0.43661229918569133,16,0.01639298736716715,a1_single_layer_prior0,0.4783,false,0.437±0.016,$0.437\pm0.016$
hopper_hop,a1_single_layer_prior0,0.9823411504686357,16,0.0036327270427323408,a1_single_layer_prior0,,false,0.982±0.004,$0.982\pm0.004$
hopper_hop,a1_single_layer_prior0.001,0.9781839098818879,16,0.00438855247020332,a1_single_layer_prior0,0.8392,false,0.978±0.004,$0.978\pm0.004$
hopper_hop,a1_single_layer_prior0.01,0.9820322585366166,16,0.003407180831952661,a1_single_layer_prior0,0.3739,false,0.982±0.003,$0.982\pm0.003$
hopper_hop,a1_single_layer_prior0.1,0.9725604927111798,16,0.003947181137938243,a1_single_layer_prior0,0.9978,true,0.973±0.004,$\mathbf{0.973\pm0.004}$
hopper_stand,a1_single_layer_prior0,0.8123815503151349,16,0.026429578748181862,a1_single_layer_prior0,,false,0.812±0.026,$0.812\pm0.026$
hopper_stand,a1_single_layer_prior0.001,0.8048083493935527,16,0.02561759608510448,a1_single_layer_prior0,0.6451,false,0.805±0.026,$0.805\pm0.026$
hopper_stand,a1_single_layer_prior0.01,0.8193782511957135,16,0.02416974127865232,a1_single_layer_prior0,0.3308,false,0.819±0.024,$0.819\pm0.024$
hopper_stand,a1_single_layer_prior0.1,0.8267577007686028,16,0.028728024804771525,a1_single_layer_prior0,0.2896,false,0.827±0.029,$0.827\pm0.029$
humanoid_run,a1_single_layer_prior0,0.9988093407365909,16,0.000010978073624545917,a1_single_layer_prior0,,false,0.999±0.000,$0.999\pm0.000$
humanoid_run,a1_single_layer_prior0.001,0.998805656886308,16,0.000010888513164329979,a1_single_layer_prior0,0.4769,false,0.999±0.000,$0.999\pm0.000$
humanoid_run,a1_single_layer_prior0.01,0.9988162042758171,16,8.224948844368239e-6,a1_single_layer_prior0,0.1497,false,0.999±0.000,$0.999\pm0.000$
humanoid_run,a1_single_layer_prior0.1,0.998838537383766,16,8.549254311936917e-6,a1_single_layer_prior0,0.0004,false,0.999±0.000,$0.999\pm0.000$
humanoid_stand,a1_single_layer_prior0,0.9926479697476376,16,0.0000675812533255351,a1_single_layer_prior0,,false,0.993±0.000,$0.993\pm0.000$
humanoid_stand,a1_single_layer_prior0.001,0.9927321670462483,16,0.000060480615672865205,a1_single_layer_prior0,0.0891,false,0.993±0.000,$0.993\pm0.000$
humanoid_stand,a1_single_layer_prior0.01,0.9927145135684059,16,0.00006104569150608926,a1_single_layer_prior0,0.1899,false,0.993±0.000,$0.993\pm0.000$
humanoid_stand,a1_single_layer_prior0.1,0.9928347800454725,16,0.00006161090609779013,a1_single_layer_prior0,0.0009,false,0.993±0.000,$0.993\pm0.000$
humanoid_walk,a1_single_layer_prior0,0.9981749681849518,16,0.000028326241824257826,a1_single_layer_prior0,,false,0.998±0.000,$0.998\pm0.000$
humanoid_walk,a1_single_layer_prior0.001,0.9981441219095766,16,0.0000300599186232903,a1_single_layer_prior0,0.9292,true,0.998±0.000,$\mathbf{0.998\pm0.000}$
humanoid_walk,a1_single_layer_prior0.01,0.9981787725162325,16,0.000034258651517947146,a1_single_layer_prior0,0.6864,false,0.998±0.000,$0.998\pm0.000$
humanoid_walk,a1_single_layer_prior0.1,0.998238171072951,16,0.000028034820149858613,a1_single_layer_prior0,0.0216,false,0.998±0.000,$0.998\pm0.000$
manipulator_bring_ball,a1_single_layer_prior0,0.9995815590949226,16,0.000027409748041962396,a1_single_layer_prior0,,false,1.000±0.000,$1.000\pm0.000$
manipulator_bring_ball,a1_single_layer_prior0.001,0.9995934598934528,16,0.000018808220227370625,a1_single_layer_prior0,0.513,false,1.000±0.000,$1.000\pm0.000$
manipulator_bring_ball,a1_single_layer_prior0.01,0.9995674329486053,16,0.000023656278455008205,a1_single_layer_prior0,0.8269,false,1.000±0.000,$1.000\pm0.000$
manipulator_bring_ball,a1_single_layer_prior0.1,0.999568367437337,16,0.000027524354158482454,a1_single_layer_prior0,0.723,false,1.000±0.000,$1.000\pm0.000$
pendulum_swingup,a1_single_layer_prior0,0.8133131313131313,16,0.06295752518784382,a1_single_layer_prior0,,false,0.813±0.063,$0.813\pm0.063$
pendulum_swingup,a1_single_layer_prior0.001,0.8181047585227273,16,0.06622012368068098,a1_single_layer_prior0,0.419,false,0.818±0.066,$0.818\pm0.066$
pendulum_swingup,a1_single_layer_prior0.01,0.815995146780303,16,0.07298113985536862,a1_single_layer_prior0,0.3326,false,0.816±0.073,$0.816\pm0.073$
pendulum_swingup,a1_single_layer_prior0.1,0.7853141966540405,16,0.0661657667849543,a1_single_layer_prior0,0.7285,false,0.785±0.066,$0.785\pm0.066$
point_mass_easy,a1_single_layer_prior0,0.20227220022273742,16,0.00845254548834354,a1_single_layer_prior0,,false,0.202±0.008,$0.202\pm0.008$
point_mass_easy,a1_single_layer_prior0.001,0.1971126582077983,16,0.005863244364198442,a1_single_layer_prior0,0.8896,false,0.197±0.006,$0.197\pm0.006$
point_mass_easy,a1_single_layer_prior0.01,0.20189133755160546,16,0.006402332168001612,a1_single_layer_prior0,0.4384,false,0.202±0.006,$0.202\pm0.006$
point_mass_easy,a1_single_layer_prior0.1,0.19041000374855555,16,0.00859618241339646,a1_single_layer_prior0,0.941,true,0.190±0.009,$\mathbf{0.190\pm0.009}$
reacher_easy,a1_single_layer_prior0,0.36010803345959597,16,0.05568319039195762,a1_single_layer_prior0,,false,0.360±0.056,$0.360\pm0.056$
reacher_easy,a1_single_layer_prior0.001,0.44771006944444447,16,0.06668528614807967,a1_single_layer_prior0,0.0563,false,0.448±0.067,$0.448\pm0.067$
reacher_easy,a1_single_layer_prior0.01,0.35846563289141414,16,0.04309905608376213,a1_single_layer_prior0,0.2437,false,0.358±0.043,$0.358\pm0.043$
reacher_easy,a1_single_layer_prior0.1,0.4187740293560606,16,0.061472754034067406,a1_single_layer_prior0,0.0868,false,0.419±0.061,$0.419\pm0.061$
reacher_hard,a1_single_layer_prior0,0.8587896543560606,16,0.018439255309567065,a1_single_layer_prior0,,false,0.859±0.018,$0.859\pm0.018$
reacher_hard,a1_single_layer_prior0.001,0.8464643308080808,16,0.0263391229065463,a1_single_layer_prior0,0.6952,false,0.846±0.026,$0.846\pm0.026$
reacher_hard,a1_single_layer_prior0.01,0.8538268229166667,16,0.02110042416716786,a1_single_layer_prior0,0.4359,false,0.854±0.021,$0.854\pm0.021$
reacher_hard,a1_single_layer_prior0.1,0.8932500394570707,16,0.023023635302330897,a1_single_layer_prior0,0.0128,false,0.893±0.023,$0.893\pm0.023$
swimmer_swimmer15,a1_single_layer_prior0,0.5994609257387223,16,0.011588492736890787,a1_single_layer_prior0,,false,0.599±0.012,$0.599\pm0.012$
swimmer_swimmer15,a1_single_layer_prior0.001,0.6032732117358275,16,0.009190574109609365,a1_single_layer_prior0,0.1596,false,0.603±0.009,$0.603\pm0.009$
swimmer_swimmer15,a1_single_layer_prior0.01,0.6050768824814151,16,0.012495294440476638,a1_single_layer_prior0,0.2025,false,0.605±0.012,$0.605\pm0.012$
swimmer_swimmer15,a1_single_layer_prior0.1,0.603576176245885,16,0.009673840811621714,a1_single_layer_prior0,0.1484,false,0.604±0.010,$0.604\pm0.010$
swimmer_swimmer6,a1_single_layer_prior0,0.46932877891292474,16,0.005131324229663619,a1_single_layer_prior0,,false,0.469±0.005,$0.469\pm0.005$
swimmer_swimmer6,a1_single_layer_prior0.001,0.47186250713651984,16,0.006947189863088587,a1_single_layer_prior0,0.4334,false,0.472±0.007,$0.472\pm0.007$
swimmer_swimmer6,a1_single_layer_prior0.01,0.4728525832482341,16,0.006239270398704567,a1_single_layer_prior0,0.2576,false,0.473±0.006,$0.473\pm0.006$
swimmer_swimmer6,a1_single_layer_prior0.1,0.47637601346617586,16,0.00931109429478607,a1_single_layer_prior0,0.3058,false,0.476±0.009,$0.476\pm0.009$
walker_run,a1_single_layer_prior0,0.8144032215019971,16,0.008007392058482546,a1_single_layer_prior0,,false,0.814±0.008,$0.814\pm0.008$
walker_run,a1_single_layer_prior0.001,0.811951471037937,16,0.008723406729418754,a1_single_layer_prior0,0.5232,false,0.812±0.009,$0.812\pm0.009$
walker_run,a1_single_layer_prior0.01,0.8123828899067911,16,0.009740476320525698,a1_single_layer_prior0,0.509,false,0.812±0.010,$0.812\pm0.010$
walker_run,a1_single_layer_prior0.1,0.8247446082848491,16,0.006153520577243643,a1_single_layer_prior0,0.0126,false,0.825±0.006,$0.825\pm0.006$
walker_stand,a1_single_layer_prior0,0.12755912462810073,16,0.02239829690902314,a1_single_layer_prior0,,false,0.128±0.022,$0.128\pm0.022$
walker_stand,a1_single_layer_prior0.001,0.11502806051406596,16,0.01164325432143231,a1_single_layer_prior0,0.6621,false,0.115±0.012,$0.115\pm0.012$
walker_stand,a1_single_layer_prior0.01,0.12428080691081106,16,0.02010608624694595,a1_single_layer_prior0,0.53,false,0.124±0.020,$0.124\pm0.020$
walker_stand,a1_single_layer_prior0.1,0.11285860569865415,16,0.006825854777919896,a1_single_layer_prior0,0.4893,false,0.113±0.007,$0.113\pm0.007$
walker_walk,a1_single_layer_prior0,0.45216854700352055,16,0.02534475671896725,a1_single_layer_prior0,,false,0.452±0.025,$0.452\pm0.025$
walker_walk,a1_single_layer_prior0.001,0.43185648861147385,16,0.01691402555387132,a1_single_layer_prior0,0.821,false,0.432±0.017,$0.432\pm0.017$
walker_walk,a1_single_layer_prior0.01,0.4451849945017861,16,0.021871741852031615,a1_single_layer_prior0,0.6846,false,0.445±0.022,$0.445\pm0.022$
walker_walk,a1_single_layer_prior0.1,0.45151452893729915,16,0.025372692818391242,a1_single_layer_prior0,0.5583,false,0.452±0.025,$0.452\pm0.025$
Average,a1_single_layer_prior0,0.496215109356579,,0.005704260836156683,a1_single_layer_prior0,,false,0.496±0.006,$0.496\pm0.006$
Average,a1_single_layer_prior0.001,0.4962560911088734,,0.004817613981607845,a1_single_layer_prior0,0.4202,false,0.496±0.005,$0.496\pm0.005$
Average,a1_single_layer_prior0.01,0.49697129211623287,,0.005407386273350164,a1_single_layer_prior0,0.4311,false,0.497±0.005,$0.497\pm0.005$
Average,a1_single_layer_prior0.1,0.4966303575697045,,0.0049532151796859315,a1_single_layer_prior0,0.3912,false,0.497±0.005,$0.497\pm0.005$
